,Año Fecha de Inicio del Contrato,Departamento,Sector de Ambiente y Desarrollo Sostenible,Sector de Ciencia Tecnología,Sector de Cultura,Sector de Educación Nacional,Sector de Hacienda y Crédito Público,Sector de Inclusión Social y Reconciliación,Sector de Industria,Sector de Ley de Justicia,Sector de Minas y Energía,Sector de No aplica/No pertenece,Sector de Planeación,Sector de Presidencia de la República,Sector de Relaciones Exteriores,Sector de Salud y Protección Social,Sector de Servicio Público,Sector de Tecnologías de la Información y las Comunicaciones,Sector de Trabajo,Sector de Transporte,"Sector de Vivienda, Ciudad y Territorio",Sector de agricultura,Sector de defensa,Sector de deportes,Sector de interior,Estado del contrato Activo,Estado del contrato Cerrado,Estado del contrato En ejecución,Estado del contrato cedido,Estado del contrato enviado Proveedor,Destino gasto Funcionamiento,Destino gasto Inversión,Destino gasto No Definido,Codigo
0,2018.0,Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22899800,0,0,0,0,0,0,1,0,0,0,0,22899800,0,0,91
1,2021.0,Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25155612,0,0,0,0,0,0,0,0,0,0,1,0,0,25155612,0,0,91
2,2018.0,Antioquia,84490000,0,0,3855889591,0,0,0,228466931,0,1139408396,856445033515,0,0,12392000,316961533237,5728552746,0,0,0,0,2986876592,4550448279,0,1926,712,0,8,587,132451898024,1013127335498,46413857765,5
3,2019.0,Antioquia,1035941865,0,0,1197672731,0,0,0,263976394,0,10733583087,447572578725,0,0,1285961740,444843327989,12635127966,0,0,485704267,0,0,5164711120,24987008,1547,601,0,3,416,64095084590,833371883288,27776605014,5
4,2020.0,Antioquia,0,0,0,250478467,0,0,0,193574659,0,1336856791,543293040907,0,0,107198511,502038800247,294251646,0,0,17603174,23771998,0,14468652783,531114924,353,137,1545,4,373,121719416327,936427272228,4408655552,5
5,2021.0,Antioquia,0,0,1362267930,19385297465,0,0,153861530818,157616488,0,13458467215,876105586358,0,0,791444111,399204502952,9509144240,0,0,7996598223,0,0,8528951179,3007070194,5,0,2681,1,24,396507536755,1096860940418,0,5
6,2018.0,Atlántico,189300000,0,0,0,0,0,0,0,0,0,0,0,0,0,31573503232,0,0,0,0,0,1823503104,0,0,119,0,0,0,0,3746600201,29671706135,168000000,8
7,2019.0,Atlántico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12234911247,0,0,114944984,0,0,3640775039,0,0,116,0,0,0,11,3688596286,12302034984,0,8
8,2020.0,Atlántico,0,0,0,77296565,0,0,0,0,0,0,0,0,0,1115731758,439939123377,0,0,1224000000,0,0,3498382107,0,0,163,1,3720,20,48,32550030502,409944365658,3360137647,8
9,2021.0,Atlántico,0,0,0,0,0,0,0,0,0,3475000,0,0,0,1101181364,310872688279,0,0,2040000000,0,0,1647264578,0,0,0,0,4405,5,11,173093087455,142044521766,527000000,8
10,2018.0,Boyacá,0,0,0,0,431637601,0,0,0,0,5006291168,710352743,0,0,0,26522624104,0,0,0,0,0,9830520092,416850000,0,342,83,0,0,14,11707511948,29275339474,1935424286,15
11,2019.0,Boyacá,0,0,568434334,0,0,0,0,0,0,2107094814,134000000,0,0,0,21375118345,0,0,0,0,0,5175383719,514205200,0,163,77,0,0,15,5699332430,22105974033,2068929949,15
12,2020.0,Boyacá,0,0,40852213,0,85623125,0,0,0,0,100188524016,1089367256,0,0,1051798173,120335020950,0,0,0,0,0,7646230895,100000000,0,184,37,245,0,2524,31165025253,100777834656,98594556719,15
13,2021.0,Boyacá,0,0,55907476,0,0,0,0,0,0,4285022748,81400800,0,0,111600000,37990330034,0,0,0,0,0,2638719875,0,0,2,0,750,1,37,23132429146,22030551787,0,15
14,2018.0,Caldas,0,0,0,17900000,0,0,0,0,0,73012244570,0,39000000,0,17647170,1245943308,0,0,0,0,0,0,0,0,63,4,0,0,1,661289570,73497499255,173946223,17
15,2019.0,Caldas,0,0,0,0,0,0,0,0,0,36247751053,0,0,0,1789694402,1019926749,0,0,0,0,0,0,0,0,244,1,0,1,41,3928600129,34878046895,250725180,17
16,2020.0,Caldas,0,0,0,0,0,0,0,0,0,97975739027,0,24450000,0,14933995248,53123697560,0,0,0,0,0,0,0,0,91,17,1238,11,104,46988516985,112321418106,6747946744,17
17,2021.0,Caldas,0,0,72558000,0,0,0,0,0,0,75916237339,0,23000000,0,10051139592,55052723813,0,0,0,73785575,0,0,0,0,3,0,1351,5,11,11237156436,129952287883,0,17
18,2018.0,Caquetá,0,0,0,0,0,0,0,0,0,0,613896500,0,0,0,2715729397,0,0,0,1424221460,0,0,0,0,20,0,0,0,1,141124896,4612722461,0,18
19,2019.0,Caquetá,0,0,0,0,0,0,0,0,0,0,53909500,0,0,0,948986232,0,0,0,4816823800,0,0,0,0,21,0,0,0,0,91538250,5728181282,0,18
20,2020.0,Caquetá,0,0,0,0,0,0,0,0,0,75607376042,285650839,0,0,0,130000000,0,0,0,0,0,0,0,0,43,5,790,4,33,18790681354,57118757277,113588250,18
21,2021.0,Caquetá,0,0,0,0,0,0,0,0,0,34856676631,297154118,0,0,0,243009528,0,0,0,0,0,0,0,0,1,0,708,2,2,13146151902,22250688375,0,18
22,2018.0,Casanare,0,0,0,0,0,0,0,0,0,2496524257,0,0,0,0,721294176,0,0,0,0,0,4716756163,0,0,103,1,0,0,104,5880298076,1723221856,331054664,85
23,2019.0,Casanare,0,0,0,0,0,0,0,0,0,18250121657,0,0,0,0,200000000,0,0,0,0,0,3635683170,104720000,0,522,99,0,4,77,9899882558,12242881269,47761000,85
24,2020.0,Casanare,0,0,0,0,0,0,0,0,0,43672963416,0,0,0,0,26844771140,0,0,0,0,0,1512171459,200844876,0,10,271,1236,12,1110,16870174687,55360576204,0,85
25,2021.0,Casanare,0,0,0,0,0,0,0,0,0,36619259573,0,0,0,0,22177301122,0,0,0,0,0,344014525,450791000,0,0,8,1860,4,24,13362333765,46229032455,0,85
26,2018.0,Cauca,0,0,0,6785856,0,0,0,114109443,0,762204882,0,0,0,0,391909017,0,0,0,0,0,3652496379,0,0,101,24,0,0,7,3816781852,960474925,150248800,19
27,2019.0,Cauca,0,0,0,38205000,0,0,0,93301295,0,1142660000,0,0,0,0,249839988,0,0,0,1996000,0,3728854419,0,0,91,6,0,0,0,3741253634,1392499988,121103080,19
28,2020.0,Cauca,0,0,0,0,0,0,0,111504813,0,284338032,0,0,0,0,73239799262,0,0,0,0,0,4316128521,0,0,48,2,1853,7,495,16264978748,61456788908,230002972,19
29,2021.0,Cauca,0,0,0,0,0,0,0,8171000,0,119866277,0,0,0,0,81182166966,0,0,0,0,0,659973714,0,0,0,0,1838,2,12,19848935500,62121242457,0,19
30,2018.0,Cesar,0,0,0,0,0,0,0,0,0,3275293328,0,0,0,0,88877104414,0,185895580,0,0,3866429208,0,0,0,77,19,0,0,6,200245580,92989558122,3014918828,20
31,2019.0,Cesar,0,0,0,0,0,0,111995024,0,0,2359228700,3084073043,0,0,0,1426403594,0,13261500,0,0,1486476821,0,0,0,55,0,0,0,8,3251294063,2877275919,2352868700,20
32,2020.0,Cesar,0,0,0,0,0,0,3000000,0,0,244844546,0,0,0,0,68175214443,0,3300139,0,0,1006245250,0,0,0,34,0,672,1,13,8592822023,60648907355,190875000,20
33,2021.0,Cesar,0,0,0,0,0,0,0,0,0,77893360,0,0,0,0,86453172503,0,152028745,0,0,0,0,0,0,0,0,1168,0,4,14127672566,72555422042,0,20
