Region,Country Name,Country Code,Indicator Name_x,Income Group,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
South Asia,Afghanistan,AFG,Coal rents (% of GDP),Low income,,,,,,,,,,,0.051513578580134,0.0870233499866114,,,,,,,,,,,,,,,,,,,,,0.00455196123888061,0.00816349379689686,0.0171697025903176,0.0111898429304667,0.0111318844971466,0.0747642794341621,0.219312059617703,0.116498066472492,0.19302219420844,0.473172643796676,0.251010712447276,0.218204610872043,0.21347630063779502,0.162182769579477,0.23007772959611397,0.37282480356225794,0.454992040837558
Europe & Central Asia,Albania,ALB,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,0.3683043756989871,0.5565477852497049,0.15217165336977803,0.0481560310367346,0.0768885207755726,0.0909233961034251,0.224377972656883,0.20354933660468202,0.0668030275815831,0.00207187752467063,0.00138453935411134,0.00274847894594902,0.00159317733278678,0.00029003324854462903,0.0006775962911260941,0.000101382167665979,0.0006309672340381679,0.00152637360804141,0.000302905411190802,0.00108580173575479,0.00736227839955749,0.00328171938218552,0.00295688291355415,0.00388985061760441,0.0136135923450622,0.000626620431809956,0.00117823059403094,0.000744960947765913,0.000299874702550819,7.412776864728481e-05,0.0,0.00592491720916294,0.00038774045375562,0.0155787557514653,0.0335896495430395
Middle East & North Africa,Algeria,DZA,Coal rents (% of GDP),Lower middle income,,0.0019278515237845602,0.0023084551786195103,0.0031048927165663602,0.00834107217281371,0.0201688448093459,0.00137644917183032,0.000597321568860956,0.0,0.000246986020013705,0.00017716304909582,0.00020877815635154,0.00124030623916838,0.0015176309464654,0.00117620626237354,0.0009208736613381009,0.000336327933961382,0.00028852369581473,0.00015477971958901299,0.000204542398614461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific,American Samoa,ASM,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,Andorra,AND,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Angola,AGO,Coal rents (% of GDP),Lower middle income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Antigua and Barbuda,ATG,Coal rents (% of GDP),High income,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America & Caribbean,Argentina,ARG,Coal rents (% of GDP),Upper middle income,,0.0,0.0,0.0,0.00163703375189276,0.00882395548475958,0.0112040316793478,0.00890338297165335,0.00534300285894554,0.00697039545511317,0.00648120081037825,0.0156424180198284,0.0160886994543114,0.00570903728987347,0.00496406442070182,0.00454040102787025,0.0011829869437812199,0.0,0.000143414808958884,0.00208372645537151,0.000700395591849115,0.0004991285989300481,8.266829646689509e-05,0.0,0.0,0.00011472260743589499,1.3723871618619501e-05,0.0,0.0,0.0,0.0,0.000124028541011859,0.0,7.71541294386987e-07,0.000663428955581501,0.000158727791372099,0.00079474473809317,0.00092369542842609,0.0030570615159607397,0.00035215138176042203,0.000510852055701006,0.00090410011055494,0.000552886074555955,0.00034368480131496,0.00019808110000623101,9.11117811554155e-05,7.39530419057807e-05,7.31497752245053e-05,0.000124706514824957
Europe & Central Asia,Armenia,ARM,Coal rents (% of GDP),Upper middle income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51968807277824e-06,0.0
Latin America & Caribbean,Aruba,ABW,Coal rents (% of GDP),High income,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
East Asia & Pacific,Australia,AUS,Coal rents (% of GDP),High income,0.130595537154505,0.10303586296823401,0.10512330636603098,0.0998018428515809,0.287573066094614,1.1014598194773402,1.22403508292005,1.2874496529286201,1.00031197508414,0.8492005762983661,0.837764296824897,1.3796369285102499,1.43553999189029,1.19121903212618,0.889067795550687,0.9886765744353678,0.593594962098898,0.194616112215999,0.21565666510145198,0.304289101526459,0.358461080937223,0.33839861251361303,0.241836603516942,0.136852752736322,0.0529505614908663,0.150798981338845,0.103825905035179,0.0994852936888272,0.165201487575721,0.101798069901988,0.18065271950203798,0.666087214997597,0.403241195061469,0.2673306003871,0.973777153235351,1.0195852059630601,1.05887600203315,0.8232388500994879,2.9202191873852903,1.4083794542096897,1.8829475907460902,2.2924709045922103,1.1189844228551,0.737920988216567,0.699897987471877,0.463394673149943,0.589827889414192,0.7709845554273971,0.78475199670187
